SetTemp 	  MeasuredTemp 	 hourDiff 	 minuteDiff 	 Output 
21	24	0	23	23
21	23	0	10	22
21	22	0	11	22
21	22	0	41	22
21	22	0	39	21
21	21	0	54	20
21	20	0	15	21
21	21	0	5	22
21	22	0	21	22
23	22	0	19	22
23	22	0	6	22
23	22	0	8	23
23	23	0	30	22
23	22	0	18	23
23	23	0	33	22
23	22	0	17	23
23	23	0	7	23
17	23	0	25	22
17	22	0	15	22
17	22	0	25	22
17	22	0	36	21
17	21	0	48	20
17	20	0	56	20
17	20	1	8	20
17	20	1	24	19
17	19	1	3	19
21	19	0	0	19
23	19	0	16	20
23	20	0	6	20
23	20	0	4	20
23	20	0	9	21
23	21	0	4	21
21	21	0	3	22
21	22	0	23	21
21	21	0	8	20
21	20	0	15	21
21	21	0	41	20
21	20	0	15	21
21	21	0	12	22
21	22	0	18	21
21	21	0	18	20
21	20	0	15	21
21	21	0	5	22
21	22	0	30	21
21	21	0	41	20
21	20	0	15	21
21	21	0	6	22
21	22	0	38	21
21	21	0	3	22
21	22	0	8	22
21	22	0	38	21
21	21	0	5	21
16	21	1	7	20
16	20	0	2	20
16	20	1	0	20
16	20	1	59	19
16	19	0	14	20
16	20	0	0	20
21	20	0	0	20
23	20	0	18	20
23	20	0	5	20
23	20	0	4	21
23	21	0	7	22
23	22	0	7	22
23	22	0	11	22
23	22	0	9	23
23	23	0	22	22
23	22	0	19	23
23	23	0	28	22
23	22	0	20	23
23	23	0	23	22
23	22	0	15	23
23	23	0	33	22
23	22	0	14	23
23	23	0	6	24
23	24	0	24	23
23	23	0	21	22
23	22	0	13	23
23	23	0	6	24
23	24	0	35	23
23	23	0	31	23
17	23	0	13	22
17	22	1	4	22
17	22	0	49	22
17	22	0	50	21
17	21	0	53	20
17	20	1	2	20
17	20	1	17	20
17	20	0	40	20
21	20	0	16	20
21	20	0	5	20
21	20	0	6	21
21	21	0	37	20
21	20	0	16	21
21	21	0	7	22
21	22	0	16	22
16	22	0	4	21
16	21	0	16	20
16	20	0	41	20
16	20	4	0	20
16	20	4	0	20
16	20	1	21	20
16	20	0	1	21
16	21	1	40	22
16	22	0	3	22
21	22	1	29	22
21	22	0	40	22
23	22	0	12	22
23	22	0	0	22
17	22	1	31	22
17	22	0	49	22
17	22	0	56	21
17	21	1	3	20
17	20	1	11	20
17	20	1	31	20
17	20	1	9	20
21	20	0	15	20
21	20	0	4	20
21	20	0	4	21
21	21	0	40	20
21	20	0	14	21
21	21	0	8	22
21	22	0	20	21
21	21	0	27	20
21	20	0	15	21
21	21	0	4	22
21	22	0	31	21
21	21	0	32	20
21	20	0	15	21
21	21	0	6	22
21	22	0	25	22
21	22	0	1	22
21	22	0	14	21
21	21	1	19	20
21	20	0	14	21
21	21	0	5	22
21	22	0	35	21
21	21	0	40	20
21	20	0	14	21
21	21	0	7	22
21	22	0	30	21
21	21	0	33	20
21	20	0	13	21
21	21	0	5	22
21	22	0	36	21
21	21	0	52	20
21	20	0	13	21
21	21	0	4	22
21	22	0	50	21
21	21	1	11	20
21	20	0	15	21
21	21	0	5	22
21	22	0	44	21
21	21	0	13	21
23	21	0	16	22
23	22	0	7	22
23	22	0	5	22
23	22	0	7	23
23	23	0	30	22
23	22	0	18	23
23	23	0	32	22
23	22	0	15	23
23	23	0	25	23
17	23	0	7	22
17	22	0	13	22
17	22	0	25	22
17	22	0	40	21
17	21	0	47	20
17	20	0	59	20
17	20	1	8	20
17	20	1	21	19
17	19	1	16	19
23	19	0	16	20
23	20	0	5	20
23	20	0	5	20
23	20	0	7	21
23	21	0	5	21
21	21	0	0	22
21	22	0	20	21
21	21	0	31	21
